title,subtitle,short_description,style_description,details,price,num_colors
Little Kids Old Skool Shoe,Est. '77 Feel Something New.,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Old Skool was our first footwear design to showcase the famous Vans Sidestripe—although back then, it was just a simple doodle drawn by founder Paul Van Doren. Since its debut in 1977, this low-top silhouette has established itself as an icon in the skate, music, and fashion scenes. Consistently the go-to shoe for creatives who do things their own way, the Kids Old Skool features a dainty floral print at the laces and Sidestripes, adding a sun-kissed touch to this heritage shoe.",Little kids low-top shoe Recommended for ages 4 - 8 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Lace-up closure for a secure and adjustable fit Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$45.00,3 colors
Premium Old Skool 36 Shoe,Feel Something New.,"The same iconic style, upgraded with refined materials and modern construction.","The Premium Old Skool 36 redefines an iconic silhouette with elevated comfort, a seamless fit, and refined details that honor its heritage. Designed with care and crafted for all-day wear, it delivers style rooted in legacy while embracing modern innovation for a look and feel like no other.","Skate-inspired, low-top shoe Canvas and suede upper layers two textures Lace-up closure for an adjustable fit Soft padded collar for enhanced comfort Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Pearlized leather Sidestripe™ insignia The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of Regenerative, Renewable, and/or Recycled materials",$130.00,2 colors
Premium Super Lowpro Trainer Shoe,Heritage meets motion.,A low-profile trainer rooted in Vans’ ʼ80s design legacy.,"The Premium Super Lowpro Trainer draws from Vans’ 1980s archives—a time defined by bold design and forward movement. Its low-profile cupsole build blends comfort and control, while the interchangeable dual lace wrap introduces a fresh layer of detail and customization. Grounded by our iconic Sidestripe™, this trainer bridges retro styling with everyday wearability, proving that timeless design always moves forward.","Low-profile, vintage track-inspired sneakers Inspired by ’80s Serio Style 84 Suede upper for premium textured finish Dual lace wrap adds a modern functional and customizable twist. Laces are interchangeable and your shoes may come with either color as the suggested base for you to customize as you please. Puffed tongue and collar for a cushioned, supportive fit Low-profile EVA midsole for lightweight comfort OrthoLite® foam insole for cushioning Heritage “Serio” branding on the tongue Sidestripe branding for heritage connection",$95.00,2 colors
Game Day Classic Slip-On Checkerboard Shoe,Show up in team colors,Rep crimson and white checkerboard on game day and beyond.,"The Game Day Classic Slip-On Checkerboard brings team-inspired colors to a true original. Sturdy canvas, slip-on simplicity, and our signature waffle sole make this icon ready for everything from the campus quad to tailgates.",Iconic slip on shoe Canvas upper for a classic look Padded collar for support and comfort Elastic side panels for easy slip-on and off Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Checkerboard print in school-inspired palette Signature waffle outsole pattern for reliable grip since '66,$60.00,5 colors
UltraRange 2.0 Shoe,Always Moving.,The all-new UltraRange 2.0 brings next-level comfort and versatility to the lineup.,"Originally designed to meet the needs of Vans surf athletes, UltraRange has evolved into one of the most popular and versatile franchises in our lineup—bringing comfort that doesn’t sacrifice on style. And now, the next generation is here with the UltraRange 2.0. A brand new design for those who are Always Moving with an updated outsole, improved support and roomier fit.","Designed for daily wear and light outdoor activities Lightweight, versatile low-top sneaker Suede overlays reinforce high wear areas Molded rubber toe for improve durability Lace-up closure Heel lock design helps keep foot planted UltraCush™ Lite midsole for a light, cushioned feel Reverse waffle lugged outsole for flexible traction Iconic Sidestripe™ insignia Heel-to-toe drop: 7 mm Weight: 299 g (size 9)",$100.00,15+ colors
VANS x SPACE MOLLY Old Skool Shoe,Vans x SPACE MOLLY,"The Old Skool, reinvented with a space-meets-street aesthetic inspired by SPACE MOLLY’s boundless imagination.","The Vans x SPACE MOLLY Old Skool brings interstellar flair to an all-time classic. Designed in collaboration with artist Kenny Wong and POP MART, this cosmic take features soft pastel tones and galactic-inspired detailing throughout. A metallic silver Sidestripe adds a futuristic edge, while pink and green accents along the foxing stripe glow with playful contrast. Hidden SPACE MOLLY graphics peek through the translucent outsole, completing a look that’s ready to orbit beyond ordinary street style.",Iconic low-top silhouette Suede and canvas uppers with subtle SPACE MOLLY graphics Metallic silver Sidestripe and laces for a futuristic touch Pastel pink and green foxing stripe accents Checkerboard tongue and printed insole with SPACE MOLLY artwork Translucent waffle outsole revealing galaxy-inspired print Detachable SPACE MOLLY keychain Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$110.00,3 colors
VANS x SPACE MOLLY Knu Skool Shoe,Vans x SPACE MOLLY,"The Knu Skool, reinvented with a space-meets-street aesthetic inspired by SPACE MOLLY’s boundless imagination.","Designed in collaboration with artist Kenny Wong and POP MART, the Vans x SPACE MOLLY Knu Skool takes cosmic creativity to the streets. A checkerboard upper filled with SPACE MOLLY graphics meets a metallic black Sidestripe detailed with her signature motifs. Soft Sepia Rose laces pop against the neutral Marshmallow base, while embossed logos and custom details keep the look playful and elevated.",Puffy low-top silhouette Canvas and suede uppers with SPACE MOLLY–themed checkerboard print Metallic leather Sidestripe with custom SPACE MOLLY detailing Sepia Rose laces and pull tab accents Embossed SPACE MOLLY heel artwork and tongue patch Detachable SPACE MOLLY keychain Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$105.00,3 colors
Premium Old Skool Zip Shoe,Feel Something New.,"The same iconic style, upgraded with refined materials and an added zipper detail.","Premium Old Skool Zip Shoe play with tones and mixes ease with attitude. The iconic Sidestripe stays intact, while the added zipper makes on-and-off smoother than ever. Durable suede, metal eyelets, and that signature waffle outsole round it out with everyday functionality.","Skate-inspired, low-top shoe Waterproof suede upper for a durable, versatile shoe Soft leather collar for enhanced comfort Side zip entry for easy on and off with laces toadjustable fit Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of Regenerative, Renewable, and/or Recycled materials",$110.00,1 color
VANS x SPACE MOLLY Authentic Shoe,Vans x SPACE MOLLY,"The Authentic, reinvented with a space-meets-street aesthetic inspired by SPACE MOLLY’s boundless imagination.","A classic silhouette meets celestial creativity in the Vans x Space Molly Authentic. Designed with artist Kenny Wong and POP MART, this edition transforms the iconic checkerboard into a galactic grid filled with Space Molly symbols. Skateboard wheels-print laces introduce warm highlights into the mix, while a gum outsole stamped with broken board graphics calls back to the collection’s creative roots. Each pair comes with a SPACE MOLLY portrait keychain to seal the look.",Classic low-top silhouette Canvas and suede uppers with SPACE MOLLY–themed checkerboard print Embossed SPACE MOLLY logo at toe Galaxy-print translucent outsole with SPACE MOLLY artwork beneath Custom printed footbed and metallic eyelets Contrast stitching and worn-in sidewall details Detachable SPACE MOLLY keychain Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$75.00,3 colors
Van Doren Approved Skate SK8-Hi Denim Shoe,Denim that skates.,"A skate icon rebuilt in denim, handpicked by Steve for the Van Doren Approved line.","Built with durable denim handpicked by Steve Van Doren, the Skate Sk8-Hi Denim brings a workwear classic to Vans’ most recognizable high-top. Distressed denim panels give it a textured, lived-in look, while the skate build levels up durability, comfort, and control. It’s the Sk8-Hi you know—Van Doren Approved and ready to skate.","Skate high top shoe Sturdy denim upper with a naturally broken-in feel Padded collar for enhanced support and comfort Lace-up closure for a secure fit Internal tongue straps secure the tongue, preventing it from sliding during movement PopCush™ footbeds offer impact protection and reduce leg fatigue for extended skating DuraCap™ is a thin rubber underlay designed specifically for skateboarding, placed in key areas to protect against griptape wear SickStick™ rubber waffle outsole provides maximum grip and traction on your board Signature waffle sole pattern outsole for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Iconic Sidestripe™ insignia Original ""Van Doren"" heel scab and branded insole Custom packaging",$85.00,5 colors
Premium Classic Slip-On Shoe,No laces. Premium build.,"Skateboarding’s original Slip-On, upgraded with enhanced cushioning for extra comfort.","Born from Southern California skate culture, the Classic Slip-On is the global icon of laid-back style. Now elevated with a higher sidewall, midweight canvas, a Sola Foam ADC insole, and enhanced cushioning and an upgraded footbed, this premium take on the classic delivers all-day comfort.","Iconic Slip-On shoe Waterproof suede upper for a durable, versatile shoe Padded collar for support and comfort Elastic side panels for easy slip-on and off Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning Signature waffle outsole pattern for reliable grip since '66 Earns Vans Sustainable Checkerboard Globe with 30% eco materials",$80.00,10 colors
Van Doren Approved Skate Authentic Denim Shoe,Denim that skates.,"A skate icon rebuilt in denim, handpicked by Steve for the Van Doren Approved line.","Built with durable denim and handpicked by Steve Van Doren, the Skate Authentic brings a new material story to a skate classic. Featuring a naturally broken-in look and feel, this version pairs classic denim texture with the Vans’ Skate build for enhanced comfort, durability, and control. It’s the Authentic you know—Van Doren Approved and ready to skate.","Skate low top shoe Sturdy denim upper with a naturally broken-in feel Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Lace-up closure for a secure fit Internal tongue straps secure the tongue, preventing it from sliding during movement PopCush™ footbeds offer impact protection and reduce leg fatigue for extended skating DuraCap™ is a thin rubber underlay designed specifically for skateboarding, placed in key areas to protect against griptape wear SickStick™ rubber waffle outsole provides maximum grip and traction on your board Signature waffle sole pattern outsole for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Original ""Van Doren"" heel scab and branded insole Custom packaging",$70.00,5 colors
Van Doren Approved Skate Old Skool Denim Shoe,Denim that skates.,"A skate icon rebuilt in denim, handpicked by Steve for the Van Doren Approved line.","Built with durable denim and handpicked by Steve Van Doren, the Skate Old Skool Denim combines classic texture with the Vans' iconic Sidestripe™ shoe. Frayed denim panels and suede overlays give it a worn-in look, while the skate build adds upgraded comfort, durability, and control. It’s the Old Skool you know—Van Doren Approved and ready to skate.","Iconic low top shoe Sturdy denim and soft suede uppers blend texture and feel DuraCap™ is a thin rubber underlay designed specifically for skateboarding, placed in key areas to protect against griptape wear Lace-up closure for an adjustable fit Padded collar for support and comfort Internal tongue straps prevents it from sliding during movement SickStick™ rubber waffle outsole provides maximum grip and traction on your board PopCush™ footbeds offer impact protection for extended skating Vulcanized sole for superior board feel and flexibility Signature waffle outsole pattern for reliable grip since '66 Original ""Van Doren"" heel scab and branded insole Custom packaging",$80.00,5 colors
Classic Slip-On Platform Shoe,No laces. Always iconic.,Iconic Slip-On style gets a little lift with a platform sole and double the sidewall.,"The Classic Slip-On Stackform Canvas refreshes our original slip-on silhouette with an even chunkier take on the platform aesthetic. Constructed with an exaggerated sidewall for double the height, this platform shoe amplifies a classic favorite while bringing a new “Off The Wall” style to your look.",Slip on platform shoe Canvas upper for a durable and classic look Padded collar for enhanced support and comfort Elastic side panels give a comfortable easy on-and-off fit Feature a 1.6” (40 mm) platform height with classic foxing stripe Reinforced toe bumper for heavy wear and tear. Signature waffle outsole pattern for reliable grip since '66 All-over pearlized stubs Vulcanized sole for flexibility,$75.00,9 colors
Waffle Shop Blue Block Sk8-Hi Keychain,"Vans, pocket-sized.","A Classic, scaled down.","A mini tribute to an icon. This hard enamel keychain features the classic Vans Sk8-Hi silhouette in a striking blue finish, complete with fine detailing and vibrant color. Attached to a sturdy split ring, it’s an effortless way to add Vans flair to your keys or bag.",Hard enamel filled shoe keychain on a split ring Blue Sk8-hi shoe Contains small parts. Not intended for children under 12 years old.,$8.00,3 colors
Mary Jane Creeper Shoe,Rebellious remix.,"Nods to the '90s grunge era, blending a wide strap with a thick, textured sidewall.","Inspired by the '90s grunge era, the Mary Jane Creeper taps into retro nostalgia and a playful interpretation of femininity, cranking this timeless silhouette up a notch. With the wide strap and thick textured sidewalls of a traditional creeper, the Mary Jane Creeper pays homage to grunge style, keeping things edgy and classy.","Mary Jane-style silhouette Patent leather upper for a smooth, shiny finish Creeper-inspired sidewall detail Rubber toe caps for added durability Vulcanized build for the original look and feel Adjustable buckle closures with double row eyelets",$80.00,6 colors
Waffle Shop Tropical Authentic Keychain,"Vans, pocket-sized.","A Classic, scaled down.","A miniature take on a classic. This hard enamel-filled keychain features the iconic Vans Authentic silhouette, reimagined in a bold Hawaiian print. Attached to a durable split ring, it’s the perfect way to carry a little piece of Vans style wherever you go.",Hard enamel filled shoe keychain on a split ring Hawaiian print Authentic shoe Contains small parts. Not intended for children under 12 years old.,$8.00,3 colors
Old Skool Platform Shoe,New heights.,Elevated take on an Old Skool with a platform sole and double the sidewall.,"Nothing screams attitude like a killer pair of black platform shoes. The Vans Old Skool Stackform is the height of cool on the platform front, with double the sidewall height for maximum coverage. The suede and canvas uppers ensure durability, while the lace-up closure and supportive padded collars add layers of comfort on the practical side. These black platform shoes are all about the look, a cool-as-cool aesthetic that remains undefeated after all these years. Throw in Vans' iconic Sidestripe and signature rubber waffle outsoles, and you've got black platform shoes worth paying attention to, now and forever.","Iconic low-top, Sidestripe shoe 34 mm platform height Leather upper for a smooth, durable finish Padded collar for support and comfort Lace-up closure for an adjustable fit Rubber sidewall with classic foxing stripe Checkerboard branding is unmistakably Vans Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66",$90.00,5 colors
Van Doren Approved Skate Slip-On Denim Shoe,Denim that skates.,"A skate icon rebuilt in denim, handpicked by Steve for the Van Doren Approved line.","Built with durable denim handpicked by Steve Van Doren, the Skate Slip-On Denim brings a raw, textured edge to one of Vans’ most recognizable silhouettes. Distressed denim uppers deliver a lived-in look straight out of the box, while skate build adds upgraded comfort, durability, and control. Easy on, always in style, and Van Doren Approved.","Skate slip on shoe Elastic side panels give a comfortable easy on-and-off fit Sturdy denim upper with a naturally broken-in feel Padded collar for enhanced support and comfort PopCush™ footbeds offer impact protection and reduce leg fatigue for extended skating DuraCap™ is a thin rubber underlay designed specifically for skateboarding, placed in key areas to protect against griptape wear SickStick™ rubber waffle outsole provides maximum grip and traction on your board Signature waffle sole pattern outsole for reliable grip since '66 Vulcanized sole for superior board feel and flexibility Original ""Van Doren"" heel scab and branded insole Custom packaging",$70.00,5 colors
OTW by Vans X WTAPS X OAMC Sk8-Hi GL Lug,Designed to disrupt.,Utilitarian cues and elevated craftsmanship evolve a Vans icon through the lens of WTAPS and OAMC.,"Vans' iconic hi-top skate shoe gets a rugged reimagining from OAMC and WTAPS with thick duck canvas and highly functional details. The Sidestripe is turned into a functional eyestay detail referencing MOLLE webbing. Dual laces feature “Milan” and “Tokyo” aglets for a subtle cultural nod, while thick foxing and rubber overlays add durability. A co-branded leather footbed ensures all-day comfort and a V-lug outsole adds traction and grip. Finished with WTAPS, OAMC, and OTW branding and custom packaging, this is a rugged, take everywhere shoe designed with global insights.","Iconic hi-top skate shoe originally known as Style 38 Rugged 12 oz duck canvas upper adds structure and texture Co-branded Vans X OAMC X WTAPS tongue WTAPS X OAMC hangflag ""10-25"" detail on outside of upper references standardized communication code meaning ‘Report to’ Side stripe reimagined as a functional eyestay, integrating MOLLE webbing references Dual lace options include a primary cotton lace with “Milan” and “Tokyo” aglet prints, plus a flat tonal secondary lace Monochromatic eyelets Thick foxing with creeper toe bumper Rubber patch overlays extended onto upper Co-branded OTW by Vans X OAMC X WTAPS leather footbed Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased OTW logo heel scab V-lug outsole for durability and grip Custom packaging",$150.00,2 colors
Little Kids Sk8-Hi Water Resistant Gum Shoe,Keep dry. Keep up.,"Their favorite high-tops, now ready for anything with a water-resistant upper.","The Sk8-Hi is an all-time classic, but the Kids Sk8-Hi takes it a step further with adventure in mind. Featuring a water-resistant suede upper, Primaloft insulation and an outsole designed for superior traction, you get a shoe that can truly keep up in cold and wet conditions.","Water-resistant upper for reliable, comfortable, breathable moisture management protection. Primaloft insulation package traps warmth without retaining internal moisture. Lugged outsole incorporates multi-directional treads, multi-level surfacing, and a siped tire-like design for increased traction in wet conditions. Single-density UltraCush molded EVA footbed provides enhanced comfort for all-day wear.",$55.00,4 colors
Van Doren Approved KVD Shoe,KVD Van Doren Approved,"An archive favorite, revived by Steve and now Van Doren Approved.","Pulled straight from the Vans archives, the KVD keeps things simple—clean lines, easy wear, no excess. A longtime favorite for its slim shape and effortless feel, it’s built on Vans’ original vulcanized construction with classic details that still hold up. Revived by Steve under the Van Doren Approved line, it’s back with the same laid-back attitude that defined it then and now.","Low-profile slip-on flat Canvas upper for a classic look Elastic side panels for easy slip-on and off Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66 Original ""Van Doren"" heel scab Custom packaging",$60.00,2 colors
Toddler Sk8-Hi Zip Water Resistant Gum Shoe,Keep dry. Keep up.,"Their favorite high-tops, now ready for anything with a water-resistant upper.","The Sk8-Hi is an all-time classic, but the Toddler Sk8-Hi takes it a step further with playtime in mind. Featuring a water-resistant suede upper, a Primaloft insulation package and an outsole designed for superior traction, you get a shoe that can truly keep up.","Water-resistant upper for reliable, comfortable, breathable moisture management protection. Primaloft insulation package traps warmth without retaining internal moisture. Lugged outsole incorporates multi-directional treads, multi-level surfacing, and a siped tire-like design for increased traction in wet conditions. Single-density UltraCush molded EVA footbed provides enhanced comfort for all-day wear.",$50.00,3 colors
OTW by Vans X WTAPS X OAMC Seylynn,Designed to disrupt.,Recognizable Vans DNA with utilitarian cues and refined craftsmanship from WTAPS and OAMC.,"This shoe blends soft suede with refined utility, grounded in the collaborative vision of Vans, OAMC, and WTAPS. A co-branded tongue and 10-25 code on the foxing reference tactical communication, while dual lace options featuring “Milan” and “Tokyo” aglets add global depth. Monochromatic eyelets and a creeper toe bumper elevate the design’s minimal utilitarian aesthetic. Underfoot, a leather footbed and cushioned insole provide soft, all-day cushioning, anchored by a V-lug outsole for durable traction.&nbsp;","Reissue of the Seylynn from Vans' archival syndicate collection Suede upper for a soft, textured finish Co-branded Vans X OAMC X WTAPS tongue ""10-25"" detail on outside of upper references standardized communication code meaning ‘Report to’ Thick foxing with creeper toe bumper Dual lace options include a primary cotton lace with “Milan” and “Tokyo” aglet prints, plus a flat tonal secondary lace Monochromatic eyelets Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Co-branded OTW by Vans X OAMC X WTAPS leather footbed OTW logo heel scab V-lug outsole for durability and grip Custom packaging",$140.00,2 colors
Little Kids Old Skool V Shoe,Est. '77 Feel Something New,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Kids Old Skool V reimagines our iconic Sidestripe shoe by swapping traditional laces for double hook-and-loop closures. Made with suede and canvas upper, this low-top style maintains its classic appeal while providing an easy, secure fit that will keep your little one comfortable all day.",Iconic low-top shoe Recommended for ages 4 - 8 years Suede and canvas uppers Double hook-and-loop closures Padded collar for enhanced support and comfort Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$50.00,12 colors
Toddler Hylane V Shoe,Always Out There.,Inspired by early-2000s skate styles with a puffy profile and oversized details.,"The Hylane is a Y2K skate-inspired shoe that reinterprets our Upland silhouette from 1999. Nods to the past coexist alongside elevated design details like the puffy 3D Sidestripe™ and embroidered logos, while the chunky stance and puffy skate tongue provide a retro look and feel. Finished with a hook-and-loop closure atop elastic laces for a secure fit, the Toddlers' Hylane transforms an old school aesthetic into today's wardrobe essential.",Youth puffy low-top shoe Recommended for ages 9 months to 4 years Leather and suede upper for elevated durability Oversized tongue and padded collar for support and comfort Chunky sidewall design with compression channel Puffy 3D Sidestripe™ blends throwback style with a modern edge Reverse waffle outsole with flex grooves and oversized Vans logo Cupsole construction provides enhanced support and durability Double hook-and-loop closures for secure fit Elastic lace functions like slip-ons for easy on and off,$55.00,7 colors
